vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount,Id
CMT,1,1,1603,6.5,CSH,24.5,44
CMT,1,1,659,1.7,CSH,9.5,45
CMT,1,4,1069,2.4,CSH,12.5,46
CMT,1,1,139,0.4,CSH,4,47
CMT,1,1,411,1.1,CSH,7,48
CMT,1,1,340,0.5,CSH,5.5,49
CMT,1,1,1439,3.6,CSH,17.5,50
CMT,1,2,425,1.1,CSH,7,51
CMT,1,1,2561,9.3,CRD,33.5,52
CMT,1,1,308,0.9,CRD,5.5,53
CMT,1,2,385,1.3,CRD,7,54
CMT,1,1,1267,6.9,CRD,23,55
CMT,1,1,829,2.6,CRD,11.5,56
CMT,1,1,319,1.1,CRD,6.5,57
CMT,1,1,390,0.9,CRD,6.5,58
CMT,1,3,820,2.6,CRD,11.5,59
CMT,1,1,702,3.7,CSH,13,60
CMT,1,1,771,0.9,CSH,9,61
CMT,1,1,850,2,CRD,10.5,62
CMT,1,1,846,6.3,CSH,18.5,63
CMT,1,1,697,2.4,CRD,11,64
CMT,1,1,244,1.1,CRD,5.5,65
CMT,1,1,299,1.4,CRD,6.5,66
CMT,1,2,338,1.6,CRD,7,67
CMT,1,1,177,0.8,CRD,4.5,68
CMT,1,1,356,1.5,CRD,7.5,69
CMT,1,1,778,3.4,CRD,13,70
CMT,1,1,514,1.6,CRD,8,71
CMT,1,1,372,1.1,CRD,6.5,72
CMT,2,2,2104,18.8,CRD,52,73
CMT,1,1,489,1.6,CSH,8.5,74
CMT,1,1,1000,1.8,CSH,12,75
CMT,1,1,840,1,CRD,10,76
CMT,1,1,123,0.7,CSH,4,77
CMT,1,2,1070,5.9,CRD,20,78
CMT,1,1,427,1.2,CSH,7,79
CMT,1,1,1120,3.7,CRD,16,80
CMT,1,1,241,0.4,CSH,4.5,81
CMT,1,1,677,1.8,CRD,10,82
CMT,1,1,1151,4.5,CRD,17.5,83
CMT,1,1,176,0.6,CRD,4.5,84
CMT,1,1,133,0.8,CRD,4.5,85
CMT,1,2,302,0.8,CSH,5.5,86
CMT,1,2,284,0.6,CRD,5,87
CMT,1,1,543,1.3,CRD,8,88
CMT,1,1,668,4.2,CRD,15,89
CMT,1,1,402,0.8,CRD,6,90
CMT,1,2,887,3.3,CSH,13,91
CMT,1,1,1906,5.2,CSH,23.5,92
CMT,1,1,357,1.6,CRD,7,93
CMT,1,1,143,0.9,CSH,4.5,94
CMT,1,1,135,0.4,CRD,4,95
CMT,1,1,332,1.3,CRD,6.5,96
CMT,1,1,460,1.7,CRD,8,97
CMT,1,1,421,1,CSH,6.5,98
CMT,1,2,482,1.5,CSH,7.5,99
CMT,1,1,765,1.9,CRD,10.5,100
CMT,1,1,543,0.8,CSH,7,101
CMT,1,1,879,2.1,CRD,11.5,102
CMT,1,2,384,0.6,CSH,5.5,103
CMT,1,1,633,1.2,CSH,8.5,104
CMT,1,1,348,1,CRD,6,105
CMT,1,1,736,7.2,CSH,21,106
CMT,1,3,257,1,CSH,5.5,107
CMT,1,2,1600,3.6,CSH,19,108
CMT,1,1,74,0.4,CSH,3.5,109
CMT,1,1,275,0.9,CRD,5.5,110
CMT,1,1,1531,10.8,CRD,31,111
CMT,1,1,902,2.4,CSH,12,112
CMT,1,1,813,2.4,CRD,11,113
CMT,1,1,1357,3.8,CRD,17,114
CMT,1,2,433,1.2,CSH,7,115
CMT,1,1,194,0.9,CRD,5,116
CMT,1,2,453,2.1,CSH,8.5,117
CMT,1,1,979,2,CSH,12,118
CMT,1,2,233,0.7,CRD,5,119
CMT,1,1,715,2.8,CRD,11.5,120
CMT,1,1,433,1.3,CSH,7,121
CMT,1,1,934,1.9,CRD,11.5,122
CMT,1,1,1047,3.2,CRD,15,123
CMT,1,1,186,0.3,CSH,4,124
CMT,1,2,1086,2,CRD,12.5,125
CMT,1,2,910,4,CRD,15.5,126
CMT,1,1,1220,9.2,CSH,28.5,127
CMT,1,1,462,0.6,CSH,6.5,128
CMT,1,1,1931,10.2,CRD,31.5,129
CMT,1,1,731,3.6,CRD,13.5,130
CMT,1,2,381,0.8,CRD,6,131
CMT,1,1,542,1.4,CSH,8,132
CMT,1,1,254,0.9,CRD,5.5,133
CMT,1,1,408,1.1,CSH,6.5,134
CMT,1,4,569,1,CSH,7.5,135
CMT,1,2,325,0.8,CRD,5.5,136
CMT,1,3,629,1.8,CRD,9,137
CMT,1,1,1603,5,CSH,20.5,138
CMT,1,1,572,3,CRD,12,139
CMT,1,1,485,1.8,CRD,8,140
CMT,1,1,415,1.5,CSH,7.5,141
CMT,1,1,1445,2.5,CRD,16,142
CMT,1,1,721,1.3,CSH,9.5,143
CMT,1,1,1149,3.6,CRD,15,144
CMT,1,2,386,1.3,CSH,7,145
CMT,1,1,65,0.3,CSH,3.5,146
CMT,1,2,525,1.5,CSH,8,147
CMT,1,2,355,1.3,CRD,7,148
CMT,1,1,775,3.2,CRD,12.5,149
CMT,1,1,1029,2.8,CSH,13.5,150
CMT,1,1,972,3.5,CRD,14,151
CMT,1,1,214,0.6,CSH,4.5,152
CMT,1,1,552,1.1,CRD,7.5,153
CMT,1,1,235,0.7,CSH,5,154
CMT,1,1,341,0.8,CRD,6,155
CMT,1,1,574,1.8,CRD,9,156
CMT,1,1,549,1.5,CRD,8.5,157
CMT,1,1,205,0.3,CSH,4,158
CMT,1,1,1605,5.7,CSH,22,159
CMT,1,2,210,0.9,CSH,5,160
CMT,1,1,696,1.7,CSH,9.5,161
CMT,1,1,397,1.3,CSH,7,162
CMT,1,1,224,0.6,CSH,4.5,163
CMT,1,1,632,1.1,CRD,8.5,164
CMT,1,2,529,1,CSH,7.5,165
CMT,1,1,208,0.8,CRD,5,166
CMT,1,1,177,0.5,CSH,4,167
CMT,1,1,377,0.4,CSH,5.5,168
CMT,1,2,859,1.5,CRD,10.5,169
CMT,1,2,361,1.3,CRD,7,170
CMT,1,2,320,2.1,CSH,8,171
CMT,1,1,162,0.6,CSH,4,172
CMT,1,1,386,2.2,CRD,8.5,173
CMT,1,1,1461,1.4,CRD,14.5,174
CMT,1,1,289,0.5,CRD,5,175
CMT,1,1,95,0.3,CSH,3,176
CMT,1,1,2129,8.7,CRD,29.5,177
CMT,1,1,893,2.3,CSH,11.5,178
CMT,1,1,876,1,CRD,10,179
CMT,1,2,371,0.8,CRD,6,180
CMT,1,2,430,1.1,CSH,7,181
CMT,1,1,491,2.4,CRD,10,182
CMT,1,1,981,4.3,CRD,16,183
CMT,1,2,591,2,CSH,9.5,184
CMT,1,1,377,1.2,CSH,6.5,185
CMT,1,1,554,1.1,CRD,7.5,186
CMT,1,1,865,2.4,CRD,11.5,187
CMT,1,1,374,0.5,CRD,5,188
CMT,1,2,945,1.6,CRD,11,189
CMT,1,2,615,1.6,CSH,9,190
CMT,1,3,758,2.3,CRD,11,191
CMT,1,1,668,2.7,CRD,11,192
CMT,1,1,128,0.9,CRD,4.5,193
CMT,1,1,429,1,CSH,6.5,194
CMT,1,1,1023,4.5,CSH,16.5,195
CMT,1,1,1789,0,NOC,2.5,196
CMT,1,1,214,0.9,CSH,5.5,197
CMT,1,3,370,1.2,CSH,6.5,198
